BART	1	54.2506942749023	20.8154449462891	65.2639999389648	93.2379989624023
BEDZ	2	50.3445281982422	19.1593608856201	274.427001953125	315.218994140625
BES1	3	50.3283042907715	19.1243610382080	269.739013671875	310.639007568359
BIA2	4	49.3902206420898	20.0987491607666	713.416992187500	754.856018066406
BILG	5	50.5315017700195	22.7185821533203	209.281005859375	242.970001220703
BRZE	6	49.9690017700195	20.5901660919189	289.015991210938	327.376007080078
BRZG	7	50.8621940612793	17.4510288238525	150.343002319336	190.692001342773
BUSK	8	50.4742202758789	20.7127780914307	274.015991210938	311.411987304688
BUZD	9	50.4662208557129	20.7189445495605	261.885986328125	299.281005859375
CBKA	10	52.2147216796875	21.0676937103272	93.9420013427734	125.190002441406
CCHN	11	52.8828048706055	20.5978336334229	136.735000610352	167.628997802734
CES1	12	50.1112785339356	19.1979713439941	256.338989257813	297.855010986328
CHEL	13	51.1300010681152	23.4804172515869	225.904998779297	255.522003173828
CHOJ	14	53.6951942443848	17.5523605346680	173.315002441406	204.065002441406
CZES	15	50.7841949462891	19.1531677246094	273.256988525391	312.109008789063
DAB1	16	50.1760559082031	20.9920005798340	212.848999023438	249.886001586914
DEBI	17	50.0436096191406	21.4199161529541	222.692001342773	258.868011474609
DRWP	18	53.5263328552246	15.8174724578857	136.796005249023	171.091995239258
DYNW	19	49.8128623962402	22.2293605804443	276.609008789063	311.666992187500
DZIA	20	53.2303314208984	20.1673889160156	176.055999755859	206.574005126953
ELBL	21	54.1555557250977	19.4003601074219	23.6830005645752	52.6910018920898
GIZY	22	54.0357780456543	21.7677783966064	138.578002929688	166.817993164063
GLIW	23	50.2264442443848	18.6097221374512	242.460998535156	284.036987304688
GLOG	24	51.6652488708496	16.0742778778076	104.582000732422	144.425003051758
GLUB	25	50.2023620605469	17.8105564117432	279.144012451172	321.368011474609
GNIE	26	52.5329437255859	17.5838603973389	138.869003295898	172.130996704102
GOLE	27	53.5587234497070	14.8380002975464	33.7000007629395	68.8769989013672
GOR1	28	49.6558609008789	21.1394443511963	343.390991210938	381.246002197266
GRAJ	29	53.6510543823242	22.4523067474365	136.664993286133	165.180999755859
GRUD	30	53.4885292053223	18.7549724578857	41.5229988098145	70.5019989013672
HOZD	31	50.1888618469238	23.3622493743897	266.967010498047	298.838012695313
HRUB	32	50.8046951293945	23.8862781524658	204.518005371094	234.445999145508
ILAW	33	53.5871391296387	19.5679721832275	133.333999633789	162.817993164063
JAR1	34	50.0171928405762	22.6785278320313	235.098007202148	268.937011718750
JAST	35	49.9525566101074	18.6119174957275	300.523986816406	342.796997070313
JEDR	36	50.6417503356934	20.3007774353027	259.863006591797	297.601989746094
JLGR	37	50.9194717407227	15.7332496643066	365.355010986328	408.207000732422
KALI	38	51.7538871765137	18.0951671600342	111.727996826172	147.725997924805
KAM1	39	53.9630546569824	14.7773885726929	22.8169994354248	57.7669982910156
KAZ1	40	50.3042221069336	20.4516391754150	222.962005615234	261.165008544922
KEPN	41	51.2801666259766	17.9835834503174	181.802993774414	220.289993286133
KES1	42	50.2715835571289	19.0261383056641	298.722991943359	339.934997558594
KILE	43	50.9084701538086	20.6639728546143	328.091003417969	364.652008056641
KLCE	44	50.8757514953613	20.6296672821045	296.868988037109	333.561004638672
KLDZ	45	50.4355812072754	16.6518898010254	316.317993164063	359.558013916016
KLOB	46	50.9055290222168	18.9368896484375	262.937011718750	301.640991210938
KLUC	47	50.9682235717773	18.2141933441162	193.520004272461	232.947998046875
KOLB	48	50.2440261840820	21.7833061218262	215.130996704102	250.580001831055
KONI	49	52.2281112670898	18.2539710998535	123.972999572754	157.115005493164
KOSC	50	54.1225547790527	17.9815826416016	180.962005615234	211.134002685547
KOSZ	51	54.2033882141113	16.1977214813232	90.1070022583008	123.178001403809
KRA2	52	50.0109176635742	19.9019165039063	254.740005493164	295.002990722656
KRAP	53	50.4903068542481	17.9568061828613	180.391006469727	221.367996215820
KROS	54	49.6787490844727	21.7746391296387	311.131011962891	347.536010742188
KROT	55	51.6921958923340	17.4371948242188	148.455001831055	186.253005981445
LAN1	56	50.0658607482910	22.2291946411133	252.656005859375	287.415008544922
LEGP	57	51.2000007629395	16.1549720764160	139.966003417969	181.348999023438
LELO	58	50.6828880310059	19.6288890838623	267.812011718750	306.294006347656
LES1	59	51.5271682739258	16.1450557708740	123.190002441406	163.384994506836
LOMZ	60	53.1739997863770	22.0803604125977	156.348007202148	185.341003417969
LUBL	61	51.2508621215820	22.5547218322754	210.378005981445	242.188003540039
MIEL	62	50.2911949157715	21.4379997253418	188.503997802734	224.529006958008
MIES	63	52.7899436950684	14.4767780303955	62.5299987792969	99.7590026855469
MIEW	64	50.3622779846191	20.0402221679688	297.605987548828	336.601989746094
MIMA	65	52.1813049316406	21.5592498779297	170.132003784180	200.723007202148
MLCN	66	50.0658874511719	21.9716949462891	236.815994262695	271.984985351563
MSZA	67	49.6792793273926	20.0703067779541	400.333007812500	440.907012939453
MYSZ	68	53.3865280151367	21.3435821533203	139.440994262695	169.305999755859
NODW	69	52.4310836791992	20.7105827331543	94.4570007324219	125.694000244141
NTML	70	52.3208045959473	16.1180286407471	89.8140029907227	126.621002197266
NWSA	71	49.6301651000977	20.7071113586426	299.648010253906	338.708007812500
NYSA	72	50.4776954650879	17.3337497711182	208.677993774414	250.608001708984
NYSN	73	50.4565544128418	17.3409729003906	199.567001342773	241.569000244141
OPLE	74	50.6676101684570	17.9193611145020	185.458999633789	225.910003662109
OPLU	75	51.1493072509766	21.9759178161621	159.291000366211	192.986999511719
OPNT	76	53.7636947631836	20.5181674957275	142.076004028320	171.845001220703
OSMZ	77	52.8007774353027	21.8916931152344	137.110000610352	166.304992675781
OST3	78	50.9423065185547	21.3896942138672	202.371994018555	237.662002563477
PAJE	79	51.1467514038086	19.0006389617920	250.113998413086	287.455993652344
PES1	80	50.2915000915527	18.9946670532227	321.175994873047	362.348999023438
PITR	81	51.4016685485840	19.6909446716309	219.729995727539	254.757003784180
POZN	82	52.4300575256348	16.9349441528320	136.753005981445	171.555999755859
PPIL	83	53.1569709777832	16.7382774353027	88.1989974975586	121.745002746582
PRZM	84	49.7919425964356	22.7528324127197	259.868988037109	293.661010742188
RACI	85	50.0776100158691	18.2149448394775	200.440002441406	242.641998291016
RADM	86	51.3914184570313	21.1638336181641	184.358001708984	218.796997070313
RES1	87	50.0624427795410	18.4668617248535	308.273010253906	350.363006591797
RWM1	88	51.7643051147461	20.2504711151123	154.613006591797	187.957992553711
RYKI	89	51.6244735717773	21.9272212982178	171.966995239258	204.100006103516
RYMA	90	49.5755271911621	21.8656101226807	362.755004882813	399.433013916016
SIDZ	91	51.5730018615723	18.7175827026367	154.402999877930	190.014007568359
SIED	92	52.1574440002441	22.2942218780518	172.468994140625	201.988998413086
SIPC	93	52.8569717407227	19.6626949310303	132.544998168945	163.151000976563
SOCH	94	52.2185554504395	20.2425823211670	102.008003234863	133.886993408203
SOKL	95	53.4085578918457	23.4957504272461	194.343994140625	222.214996337891
STA3	96	50.5628318786621	21.1819171905518	221.154006958008	257.505004882813
STAL	97	50.5682220458984	22.0481109619141	175.468994140625	210.518997192383
STRG	98	53.9663047790527	18.5300006866455	106.864997863770	136.272994995117
STRW	99	49.8697204589844	21.7883052825928	251.106994628906	286.858001708984
SWIB	100	52.2479171752930	15.5363063812256	93.6959991455078	132.005004882813
SZE2	101	53.7001953125000	16.7013893127441	161.001007080078	193.751007080078
TABG	102	50.5709724426270	21.6711940765381	179.201995849609	214.738998413086
TAR1	103	50.4516372680664	18.8581390380859	311.363006591797	352.074005126953
TORU	104	53.0183906555176	18.6349449157715	88.5189971923828	118.378997802734
TRZ1	105	50.1603317260742	19.4690837860107	332.803009033203	373.731994628906
WADO	106	49.8840827941895	19.4859161376953	288.463989257813	329.977996826172
WIEL	107	51.2193603515625	18.5717506408691	196.052001953125	233.925003051758
