ID	DOMES	Date	B	L	Helips	Hnorm	ZTD	mZTD	GradN	GradE	mGradN	mGradE
CHEL	12240M001	2020-07-07 01:30:00.0	51.13	23.48042	255.526	225.909	2,394.5	1.5	-1.19	0.64	0.18	0.17
CHEL	12240M001	2020-07-07 02:00:00.0	51.13	23.48042	255.538	225.921	2,383.9	1.6	-0.5	-1.77	0.23	0.18
CHEL	12240M001	2020-07-07 02:30:00.0	51.13	23.48042	255.538	225.921	2,390.9	1.7	-0.89	-1.23	0.27	0.18
CHEL	12240M001	2020-07-07 03:00:00.0	51.13	23.48042	255.544	225.927	2,388.7	1.4	-1.17	-1.18	0.21	0.16
CHEL	12240M001	2020-07-07 03:30:00.0	51.13	23.48042	255.544	225.927	2,391.3	1.3	-0.84	-1.01	0.15	0.14
CHNO	12241M001	2020-07-07 01:30:00.0	53.16406	15.41406	105.387	70.632	2,390.5	1.5	-0.79	-0.65	0.25	0.23
CHNO	12241M001	2020-07-07 02:00:00.0	53.16406	15.41406	105.387	70.632	2,391	1.5	-0.1	-0.42	0.25	0.19
CHNO	12241M001	2020-07-07 02:30:00.0	53.16406	15.41406	105.387	70.632	2,393.8	1.8	0.05	0.06	0.3	0.21
CHNO	12241M001	2020-07-07 03:00:00.0	53.16406	15.41406	105.387	70.632	2,396.1	1.5	-0.02	-0.2	0.19	0.19
CHNO	12241M001	2020-07-07 03:30:00.0	53.16406	15.41406	105.387	70.632	2,393.7	1.3	-0.12	-0.06	0.14	0.18
CHOJ	12242M001	2020-07-07 01:30:00.0	53.69519	17.55236	204.054	173.304	2,361.7	1.4	-0.3	0.07	0.2	0.2
CHOJ	12242M001	2020-07-07 02:00:00.0	53.69519	17.55236	204.054	173.304	2,357.4	1.4	-0.25	-0.01	0.24	0.19
CHOJ	12242M001	2020-07-07 02:30:00.0	53.69519	17.55236	204.054	173.304	2,361.4	1.5	-0.57	-0.14	0.28	0.17
CHOJ	12242M001	2020-07-07 03:00:00.0	53.69519	17.55236	204.053	173.303	2,358.5	1.3	-0.17	0.06	0.21	0.17
CHOJ	12242M001	2020-07-07 03:30:00.0	53.69519	17.55236	204.053	173.303	2,351.9	1.4	-0.14	0.09	0.16	0.21
CLIB	11526M001	2020-07-07 01:30:00.0	50.77169	15.05989	448.433	405.143	2,308.8	1.3	-0.29	-0.39	0.18	0.18
CLIB	11526M001	2020-07-07 02:00:00.0	50.77169	15.05989	448.434	405.144	2,302.7	1.6	-0.51	-0.71	0.29	0.26
CLIB	11526M001	2020-07-07 03:00:00.0	50.77169	15.05989	448.44	405.15	2,302	1.9	-0.31	0.18	0.24	0.23
CLIB	11526M001	2020-07-07 03:30:00.0	50.77169	15.05989	448.44	405.15	2,306.7	1.4	-0.36	-0.04	0.17	0.18
CNIV	15501M001	2020-07-07 01:30:00.0	51.51894	31.31361	175.92	151.17	2,430.8	1.4	0.67	-1.09	0.2	0.17
CNIV	15501M001	2020-07-07 02:00:00.0	51.51894	31.31361	175.923	151.173	2,432.6	2	0.46	-0.49	0.28	0.26
CNIV	15501M001	2020-07-07 03:00:00.0	51.51894	31.31361	175.92	151.17	2,452.4	1.7	-1.24	-0.4	0.25	0.22
CNIV	15501M001	2020-07-07 03:30:00.0	51.51894	31.31361	175.92	151.17	2,451.6	1.5	-1.33	-0.14	0.18	0.2
CPAR	11527M001	2020-07-07 01:30:00.0	50.03956	15.78325	283.349	239.244	2,353.9	1.6	-0.27	0.01	0.19	0.2
CPAR	11527M001	2020-07-07 02:00:00.0	50.03956	15.78325	283.345	239.24	2,357.8	1.6	-0.55	-0.14	0.28	0.26
CRAK	11528M001	2020-07-07 01:30:00.0	50.10239	13.72925	381.953	336.115	2,323	1.4	-1.29	0.95	0.21	0.2
CRAK	11528M001	2020-07-07 02:00:00.0	50.10239	13.72925	381.951	336.113	2,323.1	1.7	-1.86	0.63	0.31	0.27
CRAK	11528M001	2020-07-07 03:00:00.0	50.10239	13.72925	381.955	336.117	2,325	2.3	-0.51	0.21	0.31	0.28
CRAK	11528M001	2020-07-07 03:30:00.0	50.10239	13.72925	381.955	336.117	2,325.5	1.8	-0.58	0.02	0.23	0.23
CZES	NDNT-CZES	2020-07-07 01:30:00.0	50.78419	19.15317	312.093	273.241	2,350	1.3	-1.22	1.23	0.16	0.17
CZES	NDNT-CZES	2020-07-07 02:00:00.0	50.78419	19.15317	312.093	273.241	2,359.4	1.3	-1.41	0.91	0.17	0.16
CZES	NDNT-CZES	2020-07-07 02:30:00.0	50.78419	19.15317	312.093	273.241	2,354.2	1.3	-1.84	0.98	0.23	0.14
CZES	NDNT-CZES	2020-07-07 03:00:00.0	50.78419	19.15317	312.094	273.242	2,350	1.3	-1.61	1.21	0.2	0.14
CZES	NDNT-CZES	2020-07-07 03:30:00.0	50.78419	19.15317	312.094	273.242	2,353.4	1.2	-1.15	1.48	0.15	0.13
DAB1	NDNT-DABT	2020-07-07 01:30:00.0	50.17606	20.992	249.894	212.857	2,407.7	1.3	-0.52	-0.17	0.16	0.16
DAB1	NDNT-DABT	2020-07-07 02:00:00.0	50.17606	20.992	249.901	212.864	2,402.2	1.3	0.19	-0.72	0.17	0.16
DAB1	NDNT-DABT	2020-07-07 02:30:00.0	50.17606	20.992	249.901	212.864	2,406.5	1.3	0	-0.27	0.23	0.14
DAB1	NDNT-DABT	2020-07-07 03:00:00.0	50.17606	20.992	249.9	212.863	2,405.4	1.2	-0.9	0.83	0.19	0.13
DAB1	NDNT-DABT	2020-07-07 03:30:00.0	50.17606	20.992	249.9	212.863	2,401.8	1.1	-1.34	1.29	0.14	0.14
DEBI	NDNT-DEBI	2020-07-07 01:30:00.0	50.04361	21.41992	258.872	222.696	2,403.8	1.3	-0.81	1.4	0.16	0.17
DEBI	NDNT-DEBI	2020-07-07 02:00:00.0	50.04361	21.41992	258.867	222.691	2,409	1.3	-2.35	2.59	0.17	0.16
DEBI	NDNT-DEBI	2020-07-07 02:30:00.0	50.04361	21.41992	258.867	222.691	2,412.9	1.3	-2.02	0.91	0.23	0.14
DEBI	NDNT-DEBI	2020-07-07 03:00:00.0	50.04361	21.41992	258.874	222.698	2,408.8	1.2	-2.88	0.44	0.19	0.13
DEBI	NDNT-DEBI	2020-07-07 03:30:00.0	50.04361	21.41992	258.874	222.698	2,411.8	1.1	-1.8	1.23	0.14	0.14
DRWP	12243M001	2020-07-07 01:30:00.0	53.52633	15.81747	171.081	136.785	2,388.7	1.3	-0.27	-2.29	0.19	0.19
DRWP	12243M001	2020-07-07 02:00:00.0	53.52633	15.81747	171.083	136.787	2,383.1	1.3	1.73	-0.34	0.21	0.16
DRWP	12243M001	2020-07-07 02:30:00.0	53.52633	15.81747	171.083	136.787	2,379.9	1.3	2.29	-0.21	0.24	0.15
DRWP	12243M001	2020-07-07 03:00:00.0	53.52633	15.81747	171.097	136.801	2,381.8	1.4	2.13	0.01	0.19	0.16
DRWP	12243M001	2020-07-07 03:30:00.0	53.52633	15.81747	171.097	136.801	2,375.6	1.3	1.53	-0.96	0.15	0.17
DYNW	NDNT-DYNW	2020-07-07 01:30:00.0	49.81286	22.22936	311.665	276.607	2,407.9	1.7	-1.37	-0.38	0.22	0.22
DYNW	NDNT-DYNW	2020-07-07 02:00:00.0	49.81286	22.22936	311.666	276.608	2,414.4	1.9	-2.01	1.15	0.3	0.24
DYNW	NDNT-DYNW	2020-07-07 02:30:00.0	49.81286	22.22936	311.666	276.608	2,408.8	1.8	-1.69	0.69	0.35	0.24
DYNW	NDNT-DYNW	2020-07-07 03:00:00.0	49.81286	22.22936	311.668	276.61	2,404.1	1.6	-0.44	1.07	0.25	0.21
DYNW	NDNT-DYNW	2020-07-07 03:30:00.0	49.81286	22.22936	311.668	276.61	2,401.9	1.8	-0.51	0.66	0.25	0.25
DZIA	12244M001	2020-07-07 01:30:00.0	53.23033	20.16739	206.572	176.054	2,353.2	1.1	-0.75	1.35	0.15	0.16
DZIA	12244M001	2020-07-07 02:00:00.0	53.23033	20.16739	206.578	176.06	2,354.4	1.1	-0.61	-0.18	0.15	0.15
DZIA	12244M001	2020-07-07 02:30:00.0	53.23033	20.16739	206.578	176.06	2,364.9	1.1	-0.12	0.19	0.18	0.12
DZIA	12244M001	2020-07-07 03:00:00.0	53.23033	20.16739	206.574	176.056	2,360.7	1.1	0.06	0.98	0.15	0.12
DZIA	12244M001	2020-07-07 03:30:00.0	53.23033	20.16739	206.574	176.056	2,354.9	1.1	-0.09	1.36	0.11	0.12
ELBL	18991M001	2020-07-07 01:30:00.0	54.15556	19.40036	52.692	23.684	2,407.3	1.1	0.33	-0.25	0.15	0.16
ELBL	18991M001	2020-07-07 02:00:00.0	54.15556	19.40036	52.694	23.686	2,411.2	1.2	-0.82	0.24	0.17	0.15
ELBL	18991M001	2020-07-07 02:30:00.0	54.15556	19.40036	52.694	23.686	2,417.2	1.1	-0.67	0.14	0.21	0.12
ELBL	18991M001	2020-07-07 03:00:00.0	54.15556	19.40036	52.695	23.687	2,422.4	1.3	0.46	1.07	0.19	0.15
ELBL	18991M001	2020-07-07 03:30:00.0	54.15556	19.40036	52.695	23.687	2,414.9	1.2	0.21	0.84	0.14	0.16
GDA1	12252M002	2020-07-07 01:30:00.0	54.35142	18.64108	63.171	33.939	2,417.3	1.3	0.09	-0.07	0.21	0.18
GDA1	12252M002	2020-07-07 02:00:00.0	54.35142	18.64108	63.17	33.938	2,417.8	1.3	-0.54	1.09	0.21	0.16
GDA1	12252M002	2020-07-07 02:30:00.0	54.35142	18.64108	63.17	33.938	2,408.6	1.3	-0.33	1.99	0.23	0.15
GDA1	12252M002	2020-07-07 03:00:00.0	54.35142	18.64108	63.169	33.937	2,391.4	1.3	-0.32	1.73	0.19	0.15
GDA1	12252M002	2020-07-07 03:30:00.0	54.35142	18.64108	63.169	33.937	2,386.8	1.3	-0.32	0.57	0.14	0.16
GIZY	12253M001	2020-07-07 01:30:00.0	54.03578	21.76778	166.821	138.581	2,363.5	1.1	-0.82	0.92	0.15	0.16
GIZY	12253M001	2020-07-07 02:00:00.0	54.03578	21.76778	166.822	138.582	2,365.8	1.3	-0.37	0.54	0.2	0.16
GIZY	12253M001	2020-07-07 02:30:00.0	54.03578	21.76778	166.822	138.582	2,369.4	1.2	-0.44	0.63	0.24	0.14
GIZY	12253M001	2020-07-07 03:00:00.0	54.03578	21.76778	166.822	138.582	2,370.7	1.3	-0.57	1.38	0.18	0.14
GIZY	12253M001	2020-07-07 03:30:00.0	54.03578	21.76778	166.822	138.582	2,372.2	1.2	-0.45	1.19	0.14	0.16
GLIW	NDNT-GLIW	2020-07-07 01:30:00.0	50.22644	18.60972	284.037	242.461	2,367.1	1.6	-2.13	2.52	0.21	0.19
GLIW	NDNT-GLIW	2020-07-07 02:00:00.0	50.22644	18.60972	284.035	242.459	2,368.8	1.5	-1.96	2.97	0.26	0.2
GLIW	NDNT-GLIW	2020-07-07 02:30:00.0	50.22644	18.60972	284.035	242.459	2,370.7	1.7	-1.91	3.36	0.33	0.25
GLIW	NDNT-GLIW	2020-07-07 03:00:00.0	50.22644	18.60972	284.035	242.459	2,363.9	1.6	-0.55	2.99	0.24	0.22
GLIW	NDNT-GLIW	2020-07-07 03:30:00.0	50.22644	18.60972	284.035	242.459	2,367.7	1.5	-0.99	1.94	0.21	0.26
GLOG	12254M001	2020-07-07 01:30:00.0	51.66525	16.07428	144.422	104.579	2,391.8	1.3	-0.22	-0.21	0.18	0.19
GLOG	12254M001	2020-07-07 02:00:00.0	51.66525	16.07428	144.422	104.579	2,390.1	1.3	-0.37	-0.67	0.21	0.17
GLOG	12254M001	2020-07-07 02:30:00.0	51.66525	16.07428	144.422	104.579	2,391.1	1.4	-0.4	-0.47	0.26	0.16
GLOG	12254M001	2020-07-07 03:00:00.0	51.66525	16.07428	144.424	104.581	2,385.4	1.4	-1.07	-0.19	0.22	0.17
GLOG	12254M001	2020-07-07 03:30:00.0	51.66525	16.07428	144.424	104.581	2,383	1.4	-1.03	0.66	0.17	0.2
GLSV	12356M001	2020-07-07 01:30:00.0	50.36419	30.49675	226.324	200.952	2,423.4	1.1	0.01	-0.21	0.13	0.13
GLSV	12356M001	2020-07-07 02:00:00.0	50.36419	30.49675	226.326	200.954	2,432.2	1.6	0.07	-0.87	0.24	0.21
GLUB	NDNT-GLUB	2020-07-07 01:30:00.0	50.20236	17.81056	321.376	279.152	2,336.6	1.5	-1.08	2.59	0.19	0.18
GLUB	NDNT-GLUB	2020-07-07 02:00:00.0	50.20236	17.81056	321.373	279.149	2,348.5	1.3	-0.94	1	0.22	0.16
GLUB	NDNT-GLUB	2020-07-07 02:30:00.0	50.20236	17.81056	321.373	279.149	2,345.4	1.4	-1.41	0.89	0.27	0.14
GLUB	NDNT-GLUB	2020-07-07 03:00:00.0	50.20236	17.81056	321.368	279.144	2,350	1.4	-0.6	1.26	0.22	0.18
GLUB	NDNT-GLUB	2020-07-07 03:30:00.0	50.20236	17.81056	321.368	279.144	2,344.9	1.3	-0.69	1.4	0.17	0.17
GNIE	12255M001	2020-07-07 01:30:00.0	52.53294	17.58386	172.131	138.869	2,366.4	1.2	-1.16	1.5	0.16	0.17
GNIE	12255M001	2020-07-07 02:00:00.0	52.53294	17.58386	172.125	138.863	2,372.9	1.1	-1.19	0.55	0.15	0.15
GNIE	12255M001	2020-07-07 02:30:00.0	52.53294	17.58386	172.125	138.863	2,372.5	1.2	-1.06	-0.01	0.21	0.13
GNIE	12255M001	2020-07-07 03:00:00.0	52.53294	17.58386	172.13	138.868	2,376.7	1.3	-0.94	0.1	0.19	0.14
GNIE	12255M001	2020-07-07 03:30:00.0	52.53294	17.58386	172.13	138.868	2,378.6	1.2	-0.95	-0.17	0.14	0.16
GOLE	12256M001	2020-07-07 01:30:00.0	53.55872	14.838	68.861	33.684	2,394.7	1.3	-0.35	-0.46	0.16	0.18
GOLE	12256M001	2020-07-07 02:00:00.0	53.55872	14.838	68.862	33.685	2,401.2	1.3	-1.02	-0.2	0.18	0.17
GOLE	12256M001	2020-07-07 02:30:00.0	53.55872	14.838	68.862	33.685	2,403.6	1.4	-1.1	0.23	0.23	0.16
GOLE	12256M001	2020-07-07 03:00:00.0	53.55872	14.838	68.868	33.691	2,401.2	1.4	-0.52	0.67	0.18	0.16
GOLE	12256M001	2020-07-07 03:30:00.0	53.55872	14.838	68.868	33.691	2,397.7	1.2	-1.04	0.26	0.14	0.16
GOPE	11502M002	2020-07-07 01:30:00.0	49.91369	14.78564	592.728	547.559	2,263.5	1.7	-0.75	0.56	0.21	0.21
GOPE	11502M002	2020-07-07 02:00:00.0	49.91369	14.78564	592.722	547.553	2,264.5	1.7	-0.31	-1.05	0.31	0.28
GOR1	NDNT-GORL	2020-07-07 01:30:00.0	49.65586	21.13944	381.244	343.389	2,370.9	1.3	-1.21	2.23	0.16	0.17
GOR1	NDNT-GORL	2020-07-07 02:00:00.0	49.65586	21.13944	381.244	343.389	2,367.6	1.3	-0.57	-0.22	0.18	0.17
GOR1	NDNT-GORL	2020-07-07 02:30:00.0	49.65586	21.13944	381.244	343.389	2,374.2	1.3	-0.89	-0.18	0.24	0.14
GOR1	NDNT-GORL	2020-07-07 03:00:00.0	49.65586	21.13944	381.245	343.39	2,377.3	1.2	-1.2	-0.16	0.2	0.14
GOR1	NDNT-GORL	2020-07-07 03:30:00.0	49.65586	21.13944	381.245	343.39	2,384.9	1.2	-1.35	0.85	0.14	0.15
GRAJ	12245M001	2020-07-07 01:30:00.0	53.65106	22.45231	165.193	136.677	2,368.5	1.4	-2.15	0.47	0.25	0.21
GRAJ	12245M001	2020-07-07 02:00:00.0	53.65106	22.45231	165.189	136.673	2,370.6	1.4	-2.26	0.55	0.26	0.19
GRAJ	12245M001	2020-07-07 02:30:00.0	53.65106	22.45231	165.189	136.673	2,369.9	1.4	-2.23	0.27	0.29	0.18
GRAJ	12245M001	2020-07-07 03:00:00.0	53.65106	22.45231	165.179	136.663	2,378	1.4	-1.66	0.37	0.21	0.19
GRAJ	12245M001	2020-07-07 03:30:00.0	53.65106	22.45231	165.179	136.663	2,379.7	1.4	-1.39	0.88	0.18	0.22
GWWL	12225M001	2020-07-07 01:30:00.0	52.73797	15.20522	127.161	90.872	2,378.5	1.2	-2.21	1.18	0.16	0.17
GWWL	12225M001	2020-07-07 02:00:00.0	52.73797	15.20522	127.161	90.872	2,376.5	1.7	-1.89	0.71	0.31	0.26
HAJN	12247M001	2020-07-07 01:30:00.0	52.74097	23.56589	196.627	168.356	2,395.4	1.4	-0.48	1.88	0.2	0.2
HAJN	12247M001	2020-07-07 02:00:00.0	52.74097	23.56589	196.631	168.36	2,394.4	1.3	-1.32	0.76	0.23	0.17
HAJN	12247M001	2020-07-07 02:30:00.0	52.74097	23.56589	196.631	168.36	2,398.4	1.3	-1.02	0.76	0.25	0.16
HAJN	12247M001	2020-07-07 03:00:00.0	52.74097	23.56589	196.627	168.356	2,395.3	1.4	-1.65	0.68	0.2	0.17
HAJN	12247M001	2020-07-07 03:30:00.0	52.74097	23.56589	196.627	168.356	2,396.5	1.3	-1.47	1.21	0.14	0.19
HOZD	12248M001	2020-07-07 01:30:00.0	50.18886	23.36225	298.862	266.991	2,403.9	1.6	-3.38	2.31	0.21	0.19
HOZD	12248M001	2020-07-07 02:00:00.0	50.18886	23.36225	298.865	266.994	2,397.5	1.7	-3.58	3.1	0.26	0.21
HOZD	12248M001	2020-07-07 02:30:00.0	50.18886	23.36225	298.865	266.994	2,389.1	1.8	-2.47	1.18	0.3	0.19
HOZD	12248M001	2020-07-07 03:00:00.0	50.18886	23.36225	298.871	267	2,385.3	1.5	-1.83	-0.75	0.23	0.18
HOZD	12248M001	2020-07-07 03:30:00.0	50.18886	23.36225	298.871	267	2,386.7	1.5	-1.75	-0.71	0.18	0.21
HRUB	12249M001	2020-07-07 01:30:00.0	50.80469	23.88628	234.428	204.5	2,414	1.8	-2.62	2.07	0.22	0.22
HRUB	12249M001	2020-07-07 02:00:00.0	50.80469	23.88628	234.446	204.518	2,415.7	1.8	-4.09	3.86	0.28	0.22
HRUB	12249M001	2020-07-07 02:30:00.0	50.80469	23.88628	234.446	204.518	2,412.4	1.9	-5.15	1.29	0.32	0.23
HRUB	12249M001	2020-07-07 03:00:00.0	50.80469	23.88628	234.467	204.539	2,390.7	1.6	-4.11	-0.3	0.24	0.21
HRUB	12249M001	2020-07-07 03:30:00.0	50.80469	23.88628	234.467	204.539	2,389.2	1.5	-3.34	-1.52	0.22	0.23
IGEO	15101M001	2020-07-07 01:30:00.0	47.03036	28.84353	105.881	74.642	2,472.5	1.5	0.44	-0.87	0.21	0.17
IGEO	15101M001	2020-07-07 02:00:00.0	47.03036	28.84353	105.883	74.644	2,480.2	1.8	1.29	-0.79	0.23	0.23
IGEO	15101M001	2020-07-07 03:00:00.0	47.03036	28.84353	105.886	74.647	2,473.6	1.9	0.97	-1.35	0.26	0.24
IGEO	15101M001	2020-07-07 03:30:00.0	47.03036	28.84353	105.886	74.647	2,472.8	1.6	1.56	-0.93	0.22	0.19
ILAW	12250M001	2020-07-07 01:30:00.0	53.58714	19.56797	162.817	133.333	2,369.5	0.9	-1.58	1.39	0.1	0.12
ILAW	12250M001	2020-07-07 02:00:00.0	53.58714	19.56797	162.814	133.33	2,373.8	1	-0.76	1.52	0.13	0.13
ILAW	12250M001	2020-07-07 02:30:00.0	53.58714	19.56797	162.814	133.33	2,373	1	-0.66	1.19	0.16	0.11
ILAW	12250M001	2020-07-07 03:00:00.0	53.58714	19.56797	162.813	133.329	2,376	1.3	0.21	-0.06	0.18	0.14
ILAW	12250M001	2020-07-07 03:30:00.0	53.58714	19.56797	162.813	133.329	2,378.6	1.2	0.11	0.43	0.13	0.15
JAR1	NDNT-JARO	2020-07-07 01:30:00.0	50.01719	22.67853	268.932	235.093	2,414.2	1.2	-3.13	0.76	0.14	0.14
JAR1	NDNT-JARO	2020-07-07 02:00:00.0	50.01719	22.67853	268.933	235.094	2,430	1.3	-1.81	0.35	0.15	0.15
JAR1	NDNT-JARO	2020-07-07 02:30:00.0	50.01719	22.67853	268.933	235.094	2,425.3	1.3	-2.65	0.8	0.2	0.14
JAR1	NDNT-JARO	2020-07-07 03:00:00.0	50.01719	22.67853	268.94	235.101	2,411.2	1.3	-1.64	1.48	0.19	0.13
JAR1	NDNT-JARO	2020-07-07 03:30:00.0	50.01719	22.67853	268.94	235.101	2,412.5	1.2	-0.77	1.2	0.13	0.13
JAST	NDNT-JAST	2020-07-07 01:30:00.0	49.95256	18.61192	342.81	300.537	2,357.1	1.4	-2.5	2.08	0.17	0.18
JAST	NDNT-JAST	2020-07-07 02:00:00.0	49.95256	18.61192	342.808	300.535	2,345.9	1.2	-2.23	3.17	0.18	0.16
JAST	NDNT-JAST	2020-07-07 02:30:00.0	49.95256	18.61192	342.808	300.535	2,349.4	1.3	-1.78	2.39	0.24	0.14
JAST	NDNT-JAST	2020-07-07 03:00:00.0	49.95256	18.61192	342.804	300.531	2,348.2	1.4	-1.44	1.56	0.21	0.15
JAST	NDNT-JAST	2020-07-07 03:30:00.0	49.95256	18.61192	342.804	300.531	2,350.6	1.2	-1.44	1.39	0.15	0.15
JEDR	NDNT-JEDR	2020-07-07 01:30:00.0	50.64175	20.30078	297.606	259.867	2,365.4	1.1	-2.35	2.02	0.13	0.13
JEDR	NDNT-JEDR	2020-07-07 02:00:00.0	50.64175	20.30078	297.607	259.868	2,369	1.2	-2.25	1.69	0.16	0.16
JEDR	NDNT-JEDR	2020-07-07 02:30:00.0	50.64175	20.30078	297.607	259.868	2,372.6	1.3	-2.17	1.81	0.23	0.17
JEDR	NDNT-JEDR	2020-07-07 03:00:00.0	50.64175	20.30078	297.609	259.87	2,371.1	1.1	-0.79	1.1	0.16	0.12
JEDR	NDNT-JEDR	2020-07-07 03:30:00.0	50.64175	20.30078	297.609	259.87	2,372.1	1	-1.61	0.42	0.1	0.1
JLGR	12251M001	2020-07-07 01:30:00.0	50.91947	15.73325	408.192	365.34	2,320.2	1.4	-0.39	-0.26	0.2	0.21
JLGR	12251M001	2020-07-07 02:00:00.0	50.91947	15.73325	408.192	365.34	2,318.2	1.4	-0.74	0.01	0.25	0.18
JLGR	12251M001	2020-07-07 02:30:00.0	50.91947	15.73325	408.192	365.34	2,317.1	1.5	-1.1	0.01	0.28	0.2
JLGR	12251M001	2020-07-07 03:00:00.0	50.91947	15.73325	408.195	365.343	2,310.9	1.8	-0.82	0.29	0.29	0.25
JLGR	12251M001	2020-07-07 03:30:00.0	50.91947	15.73325	408.195	365.343	2,311.2	1.8	-0.73	0.33	0.26	0.26
JOZ2	12204M002	2020-07-07 01:30:00.0	52.09783	21.03236	152.518	120.879	2,378.3	1.2	-1.3	1.95	0.16	0.16
JOZ2	12204M002	2020-07-07 02:00:00.0	52.09783	21.03236	152.516	120.877	2,387.2	1.7	-0.91	1.26	0.29	0.27
JOZE	12204M001	2020-07-07 01:30:00.0	52.09728	21.03156	141.62	109.979	2,386.3	1.8	-1.94	1.6	0.3	0.25
JOZE	12204M001	2020-07-07 02:00:00.0	52.09728	21.03156	141.618	109.977	2,392.5	1.9	-1.88	1.32	0.36	0.31
KALI	12257M001	2020-07-07 01:30:00.0	51.75389	18.09517	147.742	111.744	2,377.5	1.5	-2.16	1.23	0.23	0.19
KALI	12257M001	2020-07-07 02:00:00.0	51.75389	18.09517	147.738	111.74	2,384.5	1.2	-0.69	0.31	0.2	0.16
KALI	12257M001	2020-07-07 02:30:00.0	51.75389	18.09517	147.738	111.74	2,389	1.2	-0.54	1.07	0.24	0.13
KALI	12257M001	2020-07-07 03:00:00.0	51.75389	18.09517	147.734	111.736	2,391.8	1.3	-0.54	1.3	0.19	0.15
KALI	12257M001	2020-07-07 03:30:00.0	51.75389	18.09517	147.734	111.736	2,391.4	1.2	-0.85	0.52	0.14	0.17
KAM1	12258M001	2020-07-07 01:30:00.0	53.96306	14.77739	57.765	22.815	2,402.8	1.4	-0.41	0.42	0.18	0.18
KAM1	12258M001	2020-07-07 02:00:00.0	53.96306	14.77739	57.757	22.807	2,401.7	1.4	0.33	0.45	0.19	0.18
KAM1	12258M001	2020-07-07 02:30:00.0	53.96306	14.77739	57.757	22.807	2,405.7	1.4	-0.28	0.49	0.24	0.16
KAM1	12258M001	2020-07-07 03:00:00.0	53.96306	14.77739	57.759	22.809	2,395.7	1.4	-0.45	0.75	0.19	0.16
KAM1	12258M001	2020-07-07 03:30:00.0	53.96306	14.77739	57.759	22.809	2,393.2	1.3	-0.33	0.17	0.14	0.16
KATO	12219S001	2020-07-07 01:30:00.0	50.25328	19.03564	332.88	291.615	2,349.5	1.3	-2.92	1.56	0.16	0.16
KATO	12219S001	2020-07-07 02:00:00.0	50.25328	19.03564	332.878	291.613	2,355.5	2	-2.65	1.17	0.32	0.31
KAZ1	NDNT-KAZA	2020-07-07 01:30:00.0	50.30422	20.45164	261.173	222.97	2,394.5	1.3	-1.49	1.05	0.16	0.16
KAZ1	NDNT-KAZA	2020-07-07 02:00:00.0	50.30422	20.45164	261.178	222.975	2,390.4	1.2	-2.11	1.61	0.16	0.17
KAZ1	NDNT-KAZA	2020-07-07 02:30:00.0	50.30422	20.45164	261.178	222.975	2,389.2	1.3	-2.47	0.88	0.23	0.17
KAZ1	NDNT-KAZA	2020-07-07 03:00:00.0	50.30422	20.45164	261.176	222.973	2,387	1.2	-2.14	1.15	0.19	0.14
KAZ1	NDNT-KAZA	2020-07-07 03:30:00.0	50.30422	20.45164	261.176	222.973	2,389.7	1.1	-1.49	1.19	0.14	0.14
KEPN	12259M001	2020-07-07 01:30:00.0	51.28017	17.98358	220.293	181.806	2,360.8	1.4	-1.21	1.86	0.17	0.17
KEPN	12259M001	2020-07-07 02:00:00.0	51.28017	17.98358	220.29	181.803	2,363	1.4	-1.01	0.82	0.2	0.16
KEPN	12259M001	2020-07-07 02:30:00.0	51.28017	17.98358	220.29	181.803	2,366.8	1.3	-0.72	0.9	0.24	0.14
KEPN	12259M001	2020-07-07 03:00:00.0	51.28017	17.98358	220.288	181.801	2,366.8	1.4	-0.81	1.15	0.2	0.16
KEPN	12259M001	2020-07-07 03:30:00.0	51.28017	17.98358	220.288	181.801	2,367.9	1.3	-0.61	1.09	0.15	0.17
KES1	MUSE-KES1	2020-07-07 01:30:00.0	50.27158	19.02614	339.928	298.716	2,348.3	1.7	-2.71	1.64	0.25	0.24
KES1	MUSE-KES1	2020-07-07 02:00:00.0	50.27158	19.02614	339.93	298.718	2,353	1.8	-1.92	1.54	0.27	0.26
KES1	MUSE-KES1	2020-07-07 02:30:00.0	50.27158	19.02614	339.93	298.718	2,358.5	2	-1.7	1.75	0.34	0.31
KES1	MUSE-KES1	2020-07-07 03:00:00.0	50.27158	19.02614	339.931	298.719	2,352.6	1.4	-1.83	1.5	0.22	0.17
KES1	MUSE-KES1	2020-07-07 03:30:00.0	50.27158	19.02614	339.931	298.719	2,346.1	1.3	-0.71	1.25	0.16	0.18
KILE	NDNT-KIEL	2020-07-07 01:30:00.0	50.90847	20.66397	364.632	328.071	2,349.7	1.4	-1.54	1.78	0.18	0.18
KILE	NDNT-KIEL	2020-07-07 02:00:00.0	50.90847	20.66397	364.634	328.073	2,351.9	1.2	-2.01	2.37	0.18	0.16
KILE	NDNT-KIEL	2020-07-07 02:30:00.0	50.90847	20.66397	364.634	328.073	2,346.2	1.3	-1.45	1.73	0.23	0.15
KILE	NDNT-KIEL	2020-07-07 03:00:00.0	50.90847	20.66397	364.632	328.071	2,350	1.3	-1.69	0.48	0.19	0.15
KILE	NDNT-KIEL	2020-07-07 03:30:00.0	50.90847	20.66397	364.632	328.071	2,351.5	1.1	-1.08	1.57	0.14	0.16
