ID	DOMES	Date	B	L	Helips	Hnorm	ZTD	mZTD	GradN	GradE	mGradN	mGradE
BYDG	12224M001	2020-07-07 01:00:00.0	53.13456	17.99364	104.438	73.83	2,382.7	0.9	-1.19	0.13	0.12	0.11
CBKA	12221M001	2020-07-07 00:00:00.0	52.21472	21.06769	125.193	93.945	2,400.5	1.6	-1.16	1.85	0.22	0.22
CBKA	12221M001	2020-07-07 00:30:00.0	52.21472	21.06769	125.193	93.945	2,392.5	1.8	-0.82	0.88	0.24	0.24
CBKA	12221M001	2020-07-07 01:00:00.0	52.21472	21.06769	125.196	93.948	2,387.4	1	-1.66	2.13	0.13	0.11
CCHN	12239M001	2020-07-07 00:00:00.0	52.88281	20.59783	167.631	136.737	2,377.7	1.7	-0.93	1.68	0.23	0.21
CCHN	12239M001	2020-07-07 00:30:00.0	52.88281	20.59783	167.631	136.737	2,382.3	1.7	-0.96	1.36	0.23	0.24
CCHN	12239M001	2020-07-07 01:00:00.0	52.88281	20.59783	167.639	136.745	2,371.1	1.1	-1.3	0.44	0.18	0.15
CES1	MUSE-CES1	2020-07-07 00:00:00.0	50.11128	19.19797	297.889	256.373	2,371	1.5	-2.89	1.13	0.19	0.17
CES1	MUSE-CES1	2020-07-07 00:30:00.0	50.11128	19.19797	297.889	256.373	2,376.6	1.6	-2.73	0.8	0.19	0.19
CES1	MUSE-CES1	2020-07-07 01:00:00.0	50.11128	19.19797	297.888	256.372	2,370.4	1.3	-2.4	1.83	0.16	0.17
CHEL	12240M001	2020-07-07 00:00:00.0	51.13	23.48042	255.545	225.928	2,424	1.4	-0.59	2.31	0.17	0.17
CHEL	12240M001	2020-07-07 00:30:00.0	51.13	23.48042	255.545	225.928	2,408.9	1.5	-1.98	3.54	0.18	0.21
CHEL	12240M001	2020-07-07 01:00:00.0	51.13	23.48042	255.526	225.909	2,389.1	1.3	-1.95	0.66	0.15	0.14
CHNO	12241M001	2020-07-07 00:00:00.0	53.16406	15.41406	105.386	70.631	2,412.2	1.7	-0.37	-1.49	0.23	0.23
CHNO	12241M001	2020-07-07 00:30:00.0	53.16406	15.41406	105.386	70.631	2,399.6	1.5	-0.57	-0.22	0.23	0.2
CHNO	12241M001	2020-07-07 01:00:00.0	53.16406	15.41406	105.387	70.632	2,389.6	1.2	-0.35	-0.57	0.17	0.16
CHOJ	12242M001	2020-07-07 00:00:00.0	53.69519	17.55236	204.047	173.297	2,379.8	1.6	0.22	-1.77	0.22	0.2
CHOJ	12242M001	2020-07-07 00:30:00.0	53.69519	17.55236	204.047	173.297	2,372.1	1.6	0.21	-0.74	0.24	0.22
CHOJ	12242M001	2020-07-07 01:00:00.0	53.69519	17.55236	204.054	173.304	2,358.3	1	-1.07	0.2	0.13	0.13
CLIB	11526M001	2020-07-07 00:00:00.0	50.77169	15.05989	448.431	405.141	2,314.1	1.4	-1.38	0.72	0.19	0.16
CLIB	11526M001	2020-07-07 00:30:00.0	50.77169	15.05989	448.431	405.141	2,315	1.4	-1.18	0.21	0.19	0.14
CLIB	11526M001	2020-07-07 01:00:00.0	50.77169	15.05989	448.433	405.143	2,309.9	1	-0.4	-0.28	0.12	0.12
